Sales_Order #,Date,Day,Month,Year,Customer_Age,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue
261695,12/1/2021,1,December,2021,39,F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261695,12/1/2021,1,December,2021,44,M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261697,12/2/2021,2,December,2021,37,M, United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
261698,12/2/2021,2,December,2021,31,F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
261699,12/3/2021,3,December,2021,37,F,United  States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,$0.00 ,"$2,295.00 ","$2,086.00 ",$0.00 ,"$4,590.00 "
261700,12/3/2021,3,December,2021,24,F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261701,12/3/2021,3,December,2021,37,M,United States ,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261701,12/3/2021,3,December,2021,37,M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261702,12/4/2021,4,December,2021,31,F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420.00 ,$0.00 ,"$1,396.00 ","$1,680.00 ",$0.00 
261703,12/5/2021,5,December,2021,39,F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
